Gender,Age,Type of Job,Weekly working hours,Income,Home country,Timepass,Fave Sports,Most visited websites,Most listened musics,Most watched movies,Most watched tv programmes,Most read books,Openness to Experience,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Number of countries visited,visits web in Automotive,visits web in Baby Products,visits web in Health & Beauty,visits web in Media,visits web in Consumer Electronics,visits web in Console & Video Games,visits web in Tools,visits web in Living,visits web in Grocery,visits web in Home,visits web in Betting,visits web in Jewellery & Watches,visits web in Musical Instruments,visits web in Office,visits web in Pet Supplies,visits web in Computer Software,visits web in Sports,visits web in Toys & Games,visits web in Dating,visits web in Clothing & Shoes,max star in Clothing & Shoes,max star in Automotive,max star in Baby Products,max star in Health & Beauty,max star in Media (BMVD),max star in Consumer Electronics,max star in Console & Video Games,max star in DIY & Tools,max star in Garden & Outdoor living,max star in Grocery,max star in Kitchen & Home,max star in Betting,max star in Jewellery & Watches,max star in Musical Instruments,max star in Office Products,max star in Pet Supplies,max star in Computer Software,max star in Sports & Outdoors,max star in Toys & Games,max star in Dating Sites,clicks Clothing & Shoes,clicks Automotive,clicks Baby Products,clicks Health & Beauty,clicks Media (BMVD),clicks Consumer Electronics,clicks Console & Video Games,clicks DIY & Tools,clicks Garden & Outdoor living,clicks Grocery,clicks Kitchen & Home,clicks Betting,clicks Jewellery & Watches,clicks Musical Instruments,clicks Office Products,clicks Pet Supplies,clicks Computer Software,clicks Sports & Outdoors,clicks Toys & Games,clicks Dating Sites,average star in Clothing & Shoes,average star in Automotive,average star in Baby Products,average star in Health & Beauty,average star in Media (BMVD),average star in Consumer Electronics,average star in Console & Video Games,average star in DIY & Tools,average star in Garden & Outdoor living,average star in Grocery,average star in Kitchen & Home,average star in Betting,average star in Jewellery & Watches,average star in Musical Instruments,average star in Office Products,average star in Pet Supplies,average star in Computer Software,average star in Sports & Outdoors,average star in Toys & Games,average star in Dating Sites
1,62,Housewife/Househusband,1,1,United States of America,Internet,I do not like Sports,"Media (BMVD), Grocery & beverages, Pet supplies","Classical Music, Easy Listening, Jazz","Action, Thriller, Drama, Comedy, Mystery","Comedy, Drama",Mystery,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,3,3,1,3,1,2,3,2,3,1,3,3,4,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.1333333333333333,1.0,1.2,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0666666666666667,1.4,1.2666666666666666,1.1333333333333333,1.0,1.2,1.1333333333333333,1.6,1.8666666666666667,1.0666666666666667,1.2666666666666666,1.3333333333333333,1.0
1,26,Contract employment,1,1,United States of America,Internet,Nothing,"Toys & games, Console & video games","Dance Music, Electronic Music, Indie Pop, Pop (Popular music), Rock",Drama,Drama,"Romance, Mystery, Science fiction, Science",1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,2,3,3,5,1,3,4,4,1,3,3,4,3,4,3,4,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1.3333333333333333,1.1333333333333333,1.0,1.1333333333333333,1.2666666666666666,1.4666666666666666,1.8,1.0,1.2666666666666666,1.3333333333333333,2.2,1.0,1.4,1.4666666666666666,1.6,1.2666666666666666,1.4,1.3333333333333333,1.6,1.2
0,22,Contract employment,1,1,United States of America,Sports,"Team sports (Footbal, Baseball, Rugby, ...) ","Sports & outdoor, Media (BMVD)","Hip Hop - Rap, Dance Music, Electronic Music, Rock","Comedy, Documentary","Sport, News",Biographies,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2666666666666666,3.0,1.5333333333333334,2.6,3.533333333333333,3.6666666666666665,4.8,3.0,2.3333333333333335,4.133333333333334,3.3333333333333335,3.1333333333333333,2.533333333333333,2.2,3.066666666666667,2.466666666666667,3.1333333333333333,2.6666666666666665,2.8666666666666667,1.4
1,24,Student,0,1,Great Britain,Internet,"Individual sports‎ (Tennis, Archery, ...)","Stationery & office supplies, Clothing & shoes, Health & Beauty, Home stuffs","Alternative Music, Pop (Popular music), Rock","Comedy, Action, Drama, Animation, Musical, Family, Sci-Fi, Adventure","Comedy, Drama","Science fiction, Satire, Trilogies, Series",1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,1,3,4,3,2,1,2,4,2,1,1,1,2,4,5,3,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1.4,1.0,1.0,1.2666666666666666,1.4666666666666666,1.1333333333333333,1.0666666666666667,1.0,1.0666666666666667,1.4666666666666666,1.0666666666666667,1.0,1.0,1.0,1.0666666666666667,1.2666666666666666,1.3333333333333333,1.1333333333333333,1.2666666666666666,1.0
1,34,Contract employment,1,1,Czech Republic,Sports,"Individual sports‎ (Tennis, Archery, ...)","Consumer electronics, Clothing & shoes, Outdoor Living, Home stuffs, Jewellery & watches, Computer software, Sports & outdoor","Electronic Music, Asian Pop (J-Pop or K-pop), Rock","Sci-Fi, Adventure, Thriller, Action, Crime and Gangster, Epic - Historical, Animation, Mystery, Documentary, Fantasy, Horror","Learning, Weather","Science fiction, Action and Adventure, Mystery, Horror, Travel, Science, Journals, Fantasy",1,2,3,1,1,10,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,4,4,3,4,3,4,3,3,3,4,4,1,5,4,4,4,4,4,3,3,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,2.7333333333333334,1.5333333333333334,1.1333333333333333,2.533333333333333,1.5333333333333334,2.7333333333333334,1.4,1.5333333333333334,1.8,1.6,2.6,1.0,3.933333333333333,1.5333333333333334,2.1333333333333333,2.533333333333333,2.3333333333333335,2.2666666666666666,1.6,1.1333333333333333
1,38,Housewife/Househusband,0,1,United States of America,Reading,"Precision sports‎ (Golf, Bowling, ...)",Clothing & shoes,"Easy Listening, Dance Music",Adventure,Entertainment (Variety Shows),Romance,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.7333333333333334,2.6666666666666665,3.4,3.8,3.2,4.066666666666666,3.6,2.1333333333333333,2.466666666666667,3.8666666666666667,3.8666666666666667,1.9333333333333333,4.0,1.9333333333333333,3.933333333333333,1.8,3.3333333333333335,3.066666666666667,3.1333333333333333,1.4
1,18,Student,0,0,United States of America,Music,Nothing,Media (BMVD),"Rock, Pop (Popular music)","Horror, Comedy",Comedy,"Trilogies, Science fiction",1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,4,4,4,1,1,4,1,1,5,4,5,3,4,2,5,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1.2666666666666666,1.9333333333333333,1.2666666666666666,1.2666666666666666,1.4666666666666666,1.5333333333333334,2.6666666666666665,1.0,1.0,1.6,1.0,1.0,1.7333333333333334,2.466666666666667,1.4,1.1333333333333333,1.6666666666666667,1.0666666666666667,1.2666666666666666,1.0
1,18,Student,1,0,United States of America,Music,"Team sports (Footbal, Baseball, Rugby, ...) ","Console & video games, Clothing & shoes, Toys & games","Hip Hop - Rap, Rock, Dance Music","Comedy, Horror",Comedy,"Mystery, Horror, Cookbooks",0,2,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.8666666666666667,2.4,1.4,3.0,2.3333333333333335,4.4,4.133333333333334,2.533333333333333,3.2666666666666666,4.2,3.6666666666666665,2.1333333333333333,3.0,3.533333333333333,2.933333333333333,2.7333333333333334,2.466666666666667,3.6666666666666665,3.6666666666666665,1.0666666666666667
1,21,Student,1,0,United States of America,Internet,"Team sports (Footbal, Baseball, Rugby, ...) ",Clothing & shoes,Hip Hop - Rap,"Comedy, Adventure","Comedy, Drama, Music","Drama, Mystery",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,3,5,5,5,4,3,5,4,3,5,5,5,5,5,5,5,3,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1.4666666666666666,2.1333333333333333,1.2666666666666666,1.4,2.8666666666666667,1.8666666666666667,3.1333333333333333,1.4666666666666666,1.2,1.3333333333333333,1.6666666666666667,1.2,1.8,1.9333333333333333,2.066666666666667,2.533333333333333,2.1333333333333333,2.6,2.066666666666667,1.2666666666666666
1,18,Student,1,1,United States of America,Sports,"Team sports (Footbal, Baseball, Rugby, ...) , Indoor sports, Hunting sports","Clothing & shoes, Health & Beauty, Jewellery & watches",Rock,"Horror, Comedy",Comedy,"Mystery, Horror",2,-1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5,1,1,5,5,1,2,5,3,5,5,4,3,5,5,5,5,3,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1.6666666666666667,1.3333333333333333,1.0,1.0,1.5333333333333334,3.1333333333333333,1.0,1.0666666666666667,3.466666666666667,1.4,1.6666666666666667,1.2666666666666666,1.5333333333333334,1.2666666666666666,2.2,2.466666666666667,1.8,1.3333333333333333,1.2,1.0
